date,meantempm,MaxTemp,MinTemp,meantempm_1,meanhumidity,maxhumidity,minhumidity,meanhumidity_1,maxdewptm,mindewptm,meanpressurem,maxpressurem,minpressurem,precipm,windspeed
01-08-18,29,31,27,30,83%,86%,80%,85%,20,19,997.5 mbr,998 mbar,997 mbar,360mm,2 mph
02-08-18,28.5,30,27,29,88%,90%,86%,87%,19,18,1000.5,1001,1000,355mm,1.864 mph
03-08-18,28.5,31,26,29,83%,93%,73%,82%,24,23,999.5,1001,998,370mm,4 mph
04-08-18,27,31,27,29,88.50%,93%,84%,88%,20,18,999,1000,998,350mm,0 mph
05-08-18,29.5,31,28,28,88.50%,93%,84%,87%,21,19,999,1000,998,352mm,.621 mph
06-08-18,30,34,26,31,81%,94%,68%,70%,23,22,997,998,996,359mm,1.243 mph
07-08-18,30,33,27,29,74%,92%,56%,73%,26,24,998.5,999,998,356mm,3.728mph
08-08-18,31.5,32,31,31,61.50%,62%,61%,61%,27,25,1000,1002,998,361mm,5.593mph
09-08-18,29.5,31,28,29,82%,92%,72%,80%,25,20,1002.5,1004,1001,367mm,5.593mph
10-08-18,31,34,28,30,69.50%,82%,57%,70%,21,18,1001.5,1003,1000,373mm,1.864mph
11-08-18,31,34,28,29,73%,86%,60%,71%,30,27,999,1000,998,374mm,2.486mph
12-08-18,29,30,28,28,83%,85%,81%,80%,26,21,997,998,996,358mm,2.486mph
13-08-18,29.5,31,28,30,87%,89%,85%,85%,15,13,998,998,998,375mm,.621mph
14-08-18,32.5,36,29,32,62%,68%,56%,60%,26,23,995.5,997,994,363mm,1.243mph
15-08-18,31.5,35,28,31,66.50%,75%,58%,66%,20,18,999.5,1000,999,358mm,6.214mph
16-08-18,30.5,34,27,30,70.00%,82%,58%,70%,21,20,999.5,1000,999,367mm,4.35mph
17-08-18,31,34,28,29,75.50%,86%,65%,75%,23,19,999,1001,997,365mm,3.728mph
18-08-18,31,34,28,30,74.50%,87%,62%,75%,20,19,997,998,996,355mm,1.864mph
19-08-18,30.5,33,28,30,73.50%,76%,71%,74%,19,17,996,997,995,353mm,3.728mph
20-08-18,30.5,33,28,31,72.50%,85%,60%,73%,23,20,997.5,1000,995,353mm,6.836mph
21-08-18,30,32,28,30,78.50%,90%,67%,79%,20,17,1001,1002,1000,359mm,4.35mph
22-08-18,30.5,33,28,30,83%,94%,72%,80%,22,21,1000,1001,999,353mm,4.35mph
23-08-18,28.5,29,28,28,89.50%,92%,87%,90%,23,20,1000,1001,999,350mm,0 mph
24-08-18,30,32,28,31,79.50%,90%,69%,80%,25,21,1000.5,1001,1000,355mm,4.35mph
25-08-18,31,33,29,30,67.50%,70%,65%,68%,23,20,1000,1001,999,352mm,3.728mph
26-08-18,31,33,27,31,71%,82%,60%,70%,20,19,997,998,996,351mm,4.35mph
27-08-18,29,31,27,30,74.50%,84%,65%,75%,25,21,999.5,1001,998,367mm,5.593mph
28-08-18,29,30,28,29,82.50%,88%,77%,83%,23,21,1001.5,1002,1001,374mm,2.486mph
29-08-18,29,30,28,30,82%,87%,77%,84%,27,25,1003,1004,1001,371mm,3.728mph
30-08-18,30,32,28,29,78.50%,84%,73%,78%,25,24,1001,1002,1000,369mm,2.486mph
31-08-18,31,34,28,30,74.50%,87%,62%,74%,24,21,1001,1002,1000,372mm,4.971mph
01-09-18,30.5,33,28,31,74%,79%,69%,75%,27,26,1003,1004,1002,250mm,4.971mph
02-09-18,28.5,31,26,29,84%,91%,77%,80%,25,20,1003.5,1004,1003,275mm,3.728mph
03-09-18,30,32,28,33,80.50%,91%,70%,81%,23,21,1003,1004,1002,275mm,3.728mph
04-09-18,31,34,28,33,82%,91%,73%,83%,24,23,1002,1004,1000,255mm,2.486mph
05-09-18,29.5,32,27,29,77%,92%,62%,70%,19,15,1000,1001,998,266mm,2.486mm
06-09-18,29,32,26,30,74.50%,87%,62%,75%,23,21,1002,1003,1001,254mm,11.803mph
07-09-18,28,29,27,30,83%,84%,82%,85%,25,20,1005,1006,1004,245mm,7.457mph
08-09-18,29,30,28,31,81.50%,87%,76%,82%,23,21,1006,1006,1006,256mm,3.107mph
09-09-18,30.5,34,27,31,73.50%,87%,60%,74%,25,20,1006.5,1007,1006,264mm,1.864mph
10-09-18,30,32,28,29,68%,74%,62%,69%,20,19,1008.5,1009,1008,259mm,3.728mph
11-09-18,30.5,33,28,31,82%,91%,73%,80%,26,22,1008,1009,1006,274mm,2.486mph
12-09-18,30.5,33,28,29,82.50%,91%,74%,83%,25,20,1005,1006,1004,177mm,1.864mph
13-09-18,28,30,26,27,92%,93%,91%,90%,28,25,1004.5,1005,1004,265mm,3.728mph
14-09-18,30,33,27,29,71.50%,81%,62%,72%,23,20,1006.5,1007,1006,159mm,0 mph
15-09-18,29.5,33,26,39,78%,92%,64%,76%,27,25,1006,1007,1005,1D67mm,1.864mph
16-09-18,30,32,28,31,60%,86%,34%,62%,24,23,1004.5,1005,1003,250mm,1.864mph
17-09-18,31.5,35,28,32,74%,78%,70%,75%,28,24,1001.5,1003,1002,257mm,0mph
18-09-18,32,35,29,33,73%,88%,58%,75%,29,27,1002,1003,1001,178mm,0 mph
19-09-18,32,35,29,31,64.50%,80%,49%,65%,25,24,1001.5,1004,999,169mm,5.593mph
20-09-18,30,33,27,31,79.50%,89%,70%,80%,23,19,1005,1007,1003,265mm,4.35mph
21-09-18,28.5,32,25,29,83%,93%,73%,84%,29,23,1009,1010,1008,156mm,5.593mph
22-09-18,26,26,26,25,44.50%,89%,0%,45%,26,21,1010,1010,1010,250mm,0 mph
