date,meantempm,MaxTemp,MinTemp,meantempm_1,meanhumidity,maxhumidity,minhumidity,meanhumidity_1,meanpressurem,maxpressurem,minpressurem,precipm,windspeed,maxdew,mindew
01-Apr-19,27,33,21,26,60%,90%,30%,61%,1010%,1011,1008,156.3mm,2mph,24,20
02-Apr-19,26,29,22,25,62%,76%,48%,60%,1011%,1013,1009,150.6mm,3mph,23,21
03-Apr-19,29,34,24,30,61%,87%,35%,59%,1008%,1010,1006,148.40mm,2mph,21,20
04-Apr-19,28,33,23,29,59.50%,75%,44%,58.00%,1007%,1008,1005,156.3mm,3mph,25,21
05-Apr-19,29,34,24,28,61%,85%,37%,60%,1006%,1008,1004,156.3mm,6mph,22,20
06-Apr-19,27,31,23,26,73.50%,91%,56%,71.00%,1008%,1010,1006,154.5mm,3mph,24,21
07-Apr-19,27,32,23,30,71.50%,93%,50%,70.00%,1010%,1012,1008,153.5mm,3mph,24,22
08-Apr-19,28,33,23,31,69.50%,95%,44%,68.00%,1011%,1013,1009,150.6mm,6mph,25,21
09-Apr-19,31,33,28,29,53.50%,67%,40%,52.00%,1010%,1012,1008,151.6mm,3mph,23,20
10-Apr-19,31,33,28,30,50%,62%,38%,49%,1010%,1012,1007,155.8mm,3mph,23,21
11-Apr-19,28,33,23,27,66.50%,88%,45%,65.00%,1009%,1011,1007,156.3mm,3mph,24,20
12-Apr-19,27,33,21,25,65.50%,91%,40%,63.00%,1008%,1010,1006,156.3mm,3mph,23,20
13-Apr-19,27,33,22,26,64.50%,81%,48%,62.00%,1008%,1010,1006,155.3mm,3mph,25,21
14-Apr-19,32,34,29,31,64%,74%,54%,62%,1008%,1009,1006,153.6mm,9mph,23,21
15-Apr-19,27,33,22,26,62.50%,83%,42%,61.00%,1009%,1010,1007,153.6mm,0mph,25,22
16-Apr-19,30,35,25,28,66%,94%,38%,63%,1007%,1009,1005,150.6mm,2mph,22,20
17-Apr-19,26,29,24,24,70.50%,78%,63%,69.00%,1009%,1011,1007,153.6mm,6mph,21,20
18-Apr-19,27,32,21,29,75.50%,100%,51%,74.00%,1008%,1012,1004,153.6mm,2mph,24,20
19-Apr-19,29,32,26,28,67.50%,76%,59%,66.00%,1005%,1007,1003,153.6mm,6mph,23,20
20-Apr-19,30,30,30,32,70.50%,76%,65%,68.00%,1006%,1007,1004,153.6mm,2mph,25,21
21-Apr-19,28,31,24,30,82%,88%,76%,80%,1005%,1006,1003,153.6mm,3mph,23,21
22-Apr-19,29,33,26,30,78%,95%,61%,76%,1008%,1009,1006,153.6mm,6mph,24,20
23-Apr-19,30,35,24,26,73.50%,93%,54%,71.00%,1008%,1010,1005,150.3mm,2mph,22,20
24-Apr-19,29,33,26,28,75%,92%,58%,73%,1008%,1009,1006,151.6mm,2mph,23,21
25-Apr-19,28,34,22,26,66%,95%,37%,64%,1005%,1007,1002,153.6mm,3mph,22,21
26-Apr-19,28,33,22,25,60%,84%,36%,58%,1008%,1009,1006,153.6mm,6mph,23,20
27-Apr-19,27,31,22,26,53.50%,91%,16%,52.00%,1009%,1011,1007,156.3mm,5mph,24,20
28-Apr-19,29,34,25,28,69.50%,85%,51%,67.00%,1008%,1010,1005,150mm,6mph,25,20
29-Apr-19,23,27,20,25,83.50%,92%,73%,81.00%,1007%,1010,1004,153.5mm,6mph,25,20
30-Apr-19,25,27,22,24,79.50%,83%,76%,77.00%,1007%,1007,1007,153.4mm,3mph,23,20
01-May-19,27,32,23,25,69.50%,87%,52%,68.00%,1008%,1011,1006,339.4mm,3mph,24,21
02-May-19,26,32,21,24,72.50%,97%,48%,71.00%,1011%,1014,1008,338.5mm,3mph,24,22
19-May,31,35,26,30,72.00%,94%,50%,70.00%,1008%,1010,1007,339.4mm,2mph,23,21
04-May-19,30,34,26,27,73.00%,96%,50%,72.00%,1008%,1011,1006,339.4mm,2mph,24,21
05-May-19,31,33,29,29,71.00%,84%,58%,70.00%,1006%,1008,1004,338.5mm,4mph,24,22
06-May-19,31,33,28,30,71.50%,85%,58%,69.00%,1008%,1010,1007,335.4mm,6mph,23,21
07-May-19,29,34,25,28,67.50%,83%,52%,66.00%,1008%,1010,1006,330mm,2mph,25,22
08-May-19,31,35,28,29,72.00%,90%,54%,71.00%,1007%,1009,1005,335.6mm,3mph,23,21
09-May-19,28,30,25,26,78.50%,80%,77%,76.00%,1008%,1010,1007,335.4mm,2mph,25,22
10-May-19,28,32,24,27,79.50%,89%,70%,79.00%,1008%,1010,1006,335.4mm,2mph,24,21
11-May-19,32,36,28,31,63.50%,82%,45%,62.00%,1007%,1009,1006,339.4mm,2mph,22,20
12-May-19,30,33,27,29,65.00%,78%,52%,64.00%,1007%,1010,1004,335.6mm,2mph,23,21
13-May-19,30,32,28,28,68.50%,79%,58%,67.00%,1005%,1008,1002,335.4mm,2mph,24,21
14-May-19,29,34,25,27,73.50%,87%,60%,72.00%,1002%,1004,1001,335.4mm,5mph,25,23
15-May-19,28,32,24,27,77.00%,92%,62%,76.00%,1002%,1004,1000,339.4mm,2mph,23,21
16-May-19,26,30,22,24,78.50%,90%,67%,79.00%,1002%,1003,1000,339.4mm,2mph,24,21
17-May-19,28,31,25,26,81.00%,93%,69%,80.00%,1002%,1004,1000,337.5mm,0mph,25,21
18-May-19,29,34,24,27,65.00%,85%,45%,67.00%,1002%,1005,1000,336.5mm,2mph,25,22
19-May-19,32,35,29,31,73.50%,97%,50%,75.00%,1004%,1006,1003,336.5mm,2mph,24,22
20-May-19,37,36,38,31,72.50%,92%,53%,74.00%,1001%,1004,999,335.4mm,3mph,23,21
21-May-19,32,36,28,30,67.50%,81%,54%,68.00%,1002%,1004,1000,339.4mm,2mph,24,22
22-May-19,32,34,31,31,63%,74%,52%,62.00%,1005%,1007,1003,339.4mm,4mph,23,21
23-May-19,28,31,24,32,79%,97%,61%,78.00%,1006%,1008,1004,336.4mm,6mph,24,22
24-May-19,30,33,28,31,80.50%,91%,70%,81.00%,1003,1006,1001,335.6mm,3mph,25,23
25-May-19,24,26,22,25,85%,93%,77%,84.00%,1003%,1004,1002,339.4mm,6mph,24,22
26-May-19,30,35,26,28,77.50%,97%,58%,78.00%,1002,1004,1001,336.4mm,3mph,23,21
27-May-19,32,36,28,31,74%,90%,58%,73.00%,1002%,1005,1001,336.4mm,2mph,24,22
28-May-19,31,36,25,30,66%,79%,53%,65.00%,1002%,1005,1000,335.6mm,3mph,23,22
29-May-19,33,35,32,31,66%,73%,59%,67.00%,1002%,1004,1000,339.4mm,6mph,22,21
30-May-19,30,31,29,29,80%,91%,69%,81.00%,10003%,1004,1002,336.5mm,3mph,21,20
31-May-19,30,34,27,28,67%,74%,60%,65.00%,1004%,1005,1004,339.4mm,3mph,24,22
01-Jun-19,29,32,26,30,75%,87%,63%,74.00%,1004%,1006,1002,340.4mm,6mph,25,22
02-Jun-19,26,29,23,25,82%,88%,75%,85.00%,1004%,1006,1003,340.4mm,6mph,26,23
